,agent_type,scenario,reward,steps,duration,cost,datetime,gpt_version,interaction_num
82,v3,5,22.149999999999995,1499,67.463505534331,11.179100000000002,2024-01-25_16-14-59,,
83,v4,1,40.796,1799,74.61243250370026,12.778720000000009,2024-01-25_16-18-57,,
84,v3,6,58.18600000000001,1199,41.87809642553329,5.899250000000002,2024-01-25_16-56-48,,
85,v4,8,62.406,1199,49.89995595216751,7.571810000000005,2024-01-25_16-51-54,,
86,v2,3,29.83,1799,72.1331415851911,8.148799999999996,2024-01-25_16-30-27,,
87,v2,3,65.635,1499,57.63044897317887,7.51675,2024-01-25_16-47-40,,
88,v3,6,45.209,1099,32.38711170355479,5.35049,2024-01-25_17-22-27,,
89,v2,5,33.215999999999994,1499,69.4505929549535,9.86897,2024-01-25_16-50-28,,
90,v4,0,75.70200000000001,1399,51.82341041564941,6.826719999999997,2024-01-25_17-41-49,,
91,v2,4,45.655,1299,54.41183514595032,5.807990000000001,2024-01-25_17-42-31,,
92,v4,2,137.52200000000002,2199,77.81385973294576,10.92902,2024-01-25_17-33-35,,
93,v2,6,39.763000000000005,1199,52.0586100657781,5.798869999999999,2024-01-25_17-59-57,,
94,v3,7,85.784,1999,74.80714498758316,9.889660000000005,2024-01-25_17-54-49,,
95,v4,1,19.189,1099,46.776904412110646,6.38272,2024-01-25_18-33-37,,
96,v3,7,81.82799999999999,1399,76.25133715867996,7.833509999999999,2024-01-25_18-20-04,,
97,v4,3,6.237000000000004,1299,57.689730338255565,9.1834,2024-01-25_18-51-27,,
98,v2,7,70.511,1499,66.08336716492971,7.29698,2024-01-25_18-51-59,,
99,v4,2,-20.445,1199,52.49622245232264,8.055920000000002,2024-01-25_19-20-25,,
100,v2,5,16.307000000000002,1999,109.48700599273046,16.885149999999996,2024-01-25_18-24-36,,
101,v3,8,89.69300000000001,1399,45.58738882541657,6.152399999999999,2024-01-25_19-36-18,,
102,v1,2,81.093,1799,34.55137275457382,6.150350000000002,2024-01-25_19-52-28,,
103,v1,8,42.7,1199,0.0,0.0,2024-01-19_19-20-25,,
104,v1,8,14.6,1199,0.0,0.0,2024-01-19_19-20-25,,
105,v1,8,11.9,1199,0.0,0.0,2024-01-19_19-20-25,,
106,v1,7,12.42,1199,0.0,0.0,2024-01-19_19-20-25,,
107,v1,7,70.7,2299,0.0,0.0,2024-01-19_19-20-25,,
108,v1,7,18.58,1787,0.0,0.0,2024-01-19_19-20-25,,
109,v1,6,45.155,1199,0.0,0.0,2024-01-19_19-20-25,,
110,v1,1,17.26,1499,0.0,0.0,2024-01-19_19-20-25,,
111,v1,1,-0.57,1099,0.0,0.0,2024-01-19_19-20-25,,
112,v3,8,109.153,1999,84.59841690858205,12.324470000000003,2024-01-25_19-09-38,,
113,v4,4,67.794,1499,47.52741799751917,6.61909,2024-01-25_19-49-06,,
114,v1,1,8.007000000000001,3199,64.00003718137741,11.964710000000002,2024-01-25_19-35-25,,
115,v1,2,60.911,1699,29.2024049560229,5.922419999999998,2024-01-25_20-46-31,,
116,v1,3,7.563000000000001,1199,19.449356269836425,3.530770000000001,2024-01-25_21-15-45,,
117,v1,2,91.03,1999,41.15093999703725,8.064470000000002,2024-01-25_20-55-50,,
118,v2,5,21.326,1099,49.72108238140742,7.928409999999999,2024-01-25_20-57-12,,
119,v3,0,102.28600000000002,1799,56.83953490257263,8.932920000000001,2024-01-25_20-58-34,,
120,v2,7,51.281000000000006,1499,63.67544076442719,7.5210700000000035,2024-01-25_20-57-43,,
121,v1,4,9.671,1799,31.85106952985128,6.252279999999997,2024-01-25_21-35-11,,
122,v4,3,1.1159999999999988,1599,70.90901585022608,11.025310000000005,2024-01-25_20-59-19,,
123,v4,8,91.89,1999,78.22526126702627,12.466119999999998,2024-01-25_21-00-01,,
124,v3,0,95.95,2199,80.77702147563299,11.731130000000002,2024-01-25_20-58-19,,
125,v1,3,66.813,2099,45.2370175520579,7.882389999999998,2024-01-25_21-37-00,,
126,v2,6,32.456,1199,54.57565567096074,6.187089999999999,2024-01-25_21-46-55,,
127,v1,4,36.418000000000006,1499,29.15563729604085,5.738709999999998,2024-01-25_22-22-12,,
128,v1,5,36.5,1499,51.71456497510274,11.398560000000003,2024-01-25_22-06-59,,
